ID,place_id,afe_find_id,Location,Status,Denomination,Issuer,Mint,Date,References,Remarks,Bibliography
4027,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,100,"RIC 2 (1 ed.), 38",Gewichtsverlust durch sekundäre BehandlungWeight2.05,"FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 169 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 167CollectionLandesmuseum Oldenburg"
4028,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,100,"RIC 2 (1 ed.), 38",Gewichtsverlust durch sekundäre BehandlungWeight1.82,"FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 170 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 168CollectionLandesmuseum Oldenburg"
4029,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,100,"RIC 2 (1 ed.), 40Weight3.19BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 171 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 169CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4029













","



Detailed Result








































ID: 4029


Name
Value


ID4029LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate100ReferencesRIC 2 (1 ed.), 40Weight3.19","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 171 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 169CollectionLandesmuseum Oldenburg"
4030,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,100,"RIC 2 (1 ed.), 40Weight3.02BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 172 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 170CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4030













","



Detailed Result








































ID: 4030


Name
Value


ID4030LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate100ReferencesRIC 2 (1 ed.), 40Weight3.02","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 172 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 170CollectionLandesmuseum Oldenburg"
4031,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-102,"RIC 2 (1 ed.), 49Weight3.34BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 173 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 171CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4031













","



Detailed Result








































ID: 4031


Name
Value


ID4031LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-102ReferencesRIC 2 (1 ed.), 49Weight3.34","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 173 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 171CollectionLandesmuseum Oldenburg"
4032,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-102,"RIC 2 (1 ed.), 49Weight3.12BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 174 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 172CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4032













","



Detailed Result








































ID: 4032


Name
Value


ID4032LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-102ReferencesRIC 2 (1 ed.), 49Weight3.12","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 174 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 172CollectionLandesmuseum Oldenburg"
4033,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-102,"RIC 2 (1 ed.), 49",Gewichtsverlust durch sekundäre BehandlungWeight3.05,"FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 175 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 173CollectionLandesmuseum Oldenburg"
4034,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-102,"RIC 2 (1 ed.), 49Weight2.99BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 176 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 174CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4034













","



Detailed Result








































ID: 4034


Name
Value


ID4034LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-102ReferencesRIC 2 (1 ed.), 49Weight2.99","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 176 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 174CollectionLandesmuseum Oldenburg"
4035,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-102,"RIC 2 (1 ed.), 49Weight2.3BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 177 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 175CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4035













","



Detailed Result








































ID: 4035


Name
Value


ID4035LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-102ReferencesRIC 2 (1 ed.), 49Weight2.3","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 177 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 175CollectionLandesmuseum Oldenburg"
4036,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-103,"RIC 2 (1 ed.), 52Weight3.09BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 178 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 176CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4036













","



Detailed Result








































ID: 4036


Name
Value


ID4036LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-103ReferencesRIC 2 (1 ed.), 52Weight3.09","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 178 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 176CollectionLandesmuseum Oldenburg"
4037,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-103,"RIC 2 (1 ed.), 52Weight2.62BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 179 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 177CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4037













","



Detailed Result








































ID: 4037


Name
Value


ID4037LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-103ReferencesRIC 2 (1 ed.), 52Weight2.62","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 179 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 177CollectionLandesmuseum Oldenburg"
4038,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-103,"RIC 2 (1 ed.), 53Weight2.9BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 180 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 178CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4038













","



Detailed Result








































ID: 4038


Name
Value


ID4038LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-103ReferencesRIC 2 (1 ed.), 53Weight2.9","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 180 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 178CollectionLandesmuseum Oldenburg"
4039,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-103,"RIC 2 (1 ed.), 54 ?",Gewichtsverlust durch sekundäre BehandlungWeight2.4,"FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 181 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, CollectionLandesmuseum Oldenburg"
4040,1208,1811,"Jever, Jever (Schatzfund",Official,Denarius,Traianus,Roma,101-103,"RIC 2 (1 ed.), 58Weight2.8BibliographyFMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 182 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 180CollectionLandesmuseum Oldenburg 




                Export CSV
            



    URL: http://afe.dainst.org/coin?afeid=4040













","



Detailed Result








































ID: 4040


Name
Value


ID4040LocationJever, Jever (Schatzfund)StatusOfficialDenominationDenariusIssuerTraianusMintRomaDate101-103ReferencesRIC 2 (1 ed.), 58Weight2.8","FMRD VII, Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII Niedersachen und Bremen. Bd. 1–3: Osnabrück, Aurich, Oldenburg (Berlin 1988), 3019, 182 Zedelius, Jever, Der große römische Denarschatz von Jever (1850), Niedersachsen. Studien zur Sachsenforschung 3, 1982, 315–355, 180CollectionLandesmuseum Oldenburg"
