ID,Name,Fundkategorie,Link
213,Ribnitz,Einzelfund,iDAI gazetteer
214,Demern,Einzelfund,iDAI gazetteer
215,Brudersdorf,Einzelfund,iDAI gazetteer
216,Kittendorf,Grabfund,iDAI gazetteer
217,Neustrelitz (Hortfund?),Schatzfund,iDAI gazetteer
218,Radewitz,Einzelfund,iDAI gazetteer
219,Wörmlitz,Einzelfund,iDAI gazetteer
220,Parey (Elbe),Einzelfund,iDAI gazetteer
221,Deersheim I,Grabfund,iDAI gazetteer
222,Altenhausen II,Einzelfund,iDAI gazetteer
223,Bodendorf (Grabfund ?),Grabfund,iDAI gazetteer
224,Plätz,Einzelfund,iDAI gazetteer
225,Burg,Einzelfund,iDAI gazetteer
226,Gommern (Grabfund),Grabfund,iDAI gazetteer
227,Schermen,Einzelfund,iDAI gazetteer
228,Stegelitz (Hortfund?),Schatzfund,iDAI gazetteer
229,Wahlitz,Einzelfund,iDAI gazetteer
230,Kalbe I,Einzelfund,iDAI gazetteer
231,Kalbe II,Einzelfund,iDAI gazetteer
232,Genthin II,Einzelfund,iDAI gazetteer
,,,
234,Gladau,Einzelfund,iDAI gazetteer
235,Danstedt,Einzelfund,iDAI gazetteer
236,Dedeleben I,Einzelfund,iDAI gazetteer
237,Emersleben I,Grabfund,iDAI gazetteer
238,Nienhagen,Einzelfund,iDAI gazetteer
239,Pabstorf,Einzelfund,iDAI gazetteer
240,Schlanstedt I,Einzelfund,iDAI gazetteer
241,Altenhausen I,Einzelfund,iDAI gazetteer
242,Berenbrock,Einzelfund,iDAI gazetteer
243,Bülstringen,Einzelfund,iDAI gazetteer
244,Hillersleben,Einzelfund,iDAI gazetteer
245,Hundisburg I,Einzelfund,iDAI gazetteer
246,Hundisburg VI,Einzelfund,iDAI gazetteer
247,Ostingersleben,Einzelfund,iDAI gazetteer
248,Schackensleben,Kollektivfund,iDAI gazetteer
249,Uthmöden,Einzelfund,iDAI gazetteer
250,Wegenstedt,Einzelfund,iDAI gazetteer
251,Alvensleben (Umgebung) - Bebertal 1,Einzelfund,iDAI gazetteer
252,Nitzow,Einzelfund,iDAI gazetteer
253,Beetzendorf II,Einzelfund,iDAI gazetteer
254,Ausleben (Hortfund),Schatzfund,iDAI gazetteer
255,Badeleben,Einzelfund,iDAI gazetteer
256,Gröningen II,Einzelfund,iDAI gazetteer
257,Gröningen III,Einzelfund,iDAI gazetteer
258,Dewitz,Einzelfund,iDAI gazetteer
259,Gethlingen,Einzelfund,iDAI gazetteer
260,Klein Schwechten,Einzelfund,iDAI gazetteer
261,Osterburg,Einzelfund,iDAI gazetteer
262,Walsleben I,Einzelfund,iDAI gazetteer
263,Bombeck I,Grabfund,iDAI gazetteer
264,Bombeck II,Grabfund,iDAI gazetteer
265,Salzwedel I,Einzelfund,iDAI gazetteer
266,Salzwedel II,Einzelfund,iDAI gazetteer
267,Seeben,Einzelfund,iDAI gazetteer
268,Umgebung von Salzwedel,Einzelfund,iDAI gazetteer
269,Velgau,Einzelfund,iDAI gazetteer
270,Biere I,Einzelfund,iDAI gazetteer
271,Hecklingen I,Einzelfund,iDAI gazetteer
272,Westeregeln I,Einzelfund,iDAI gazetteer
273,Westeregeln II,Einzelfund,iDAI gazetteer
274,Arneburg,Einzelfund,iDAI gazetteer
275,Arneburg(-Süd),,iDAI gazetteer
276,Eichstedt,Einzelfund,iDAI gazetteer
277,Groß Schwechten,Einzelfund,iDAI gazetteer
278,Hämerten,Einzelfund,iDAI gazetteer
279,Hassel,Einzelfund,iDAI gazetteer
280,Heeren II (Hortfund),Schatzfund,iDAI gazetteer
281,Insel,Einzelfund,iDAI gazetteer
282,Kläden,Einzelfund,iDAI gazetteer
283,Nahrstedt,Einzelfund,iDAI gazetteer
284,Neuendorf am Speck,Einzelfund,iDAI gazetteer
285,Sanne I,Einzelfund,iDAI gazetteer
286,Sanne II,Einzelfund,iDAI gazetteer
287,Staffelde,Einzelfund,iDAI gazetteer
288,Stendal I,Einzelfund,iDAI gazetteer
289,Stendal II,Einzelfund,iDAI gazetteer
290,Stendal IV,Einzelfund,iDAI gazetteer
291,Storkau,Einzelfund,iDAI gazetteer
292,Tangermünde(-Nord) I,Einzelfund,iDAI gazetteer
293,Tangermünde(-Nord) II,Einzelfund,iDAI gazetteer
294,Uenglingen I,Einzelfund,iDAI gazetteer
295,Uenglingen II,Einzelfund,iDAI gazetteer
296,Dreileben I,Einzelfund,iDAI gazetteer
297,Dreileben II,Einzelfund,iDAI gazetteer
298,Eilsleben I,Einzelfund,iDAI gazetteer
299,Hadmersleben,Einzelfund,iDAI gazetteer
300,Klein Wanzleben I,Einzelfund,iDAI gazetteer
301,Langenweddingen II,Einzelfund,iDAI gazetteer
302,Seehausen,Einzelfund,iDAI gazetteer
303,Ummendorf I,Einzelfund,iDAI gazetteer
304,Ummendorf II,Einzelfund,iDAI gazetteer
305,Wefensleben I,Einzelfund,iDAI gazetteer
306,Wefensleben III,Einzelfund,iDAI gazetteer
307,Derenburg,Einzelfund,iDAI gazetteer
308,Langeln,Einzelfund,iDAI gazetteer
309,Minsleben,Einzelfund,iDAI gazetteer
310,Eichenbarleben I,Einzelfund,iDAI gazetteer
311,Wolmirstedt,Einzelfund,iDAI gazetteer
312,Wolmirstedt (Umgebung) I,Einzelfund,iDAI gazetteer
313,Wolmirstedt (Umgebung) II,Einzelfund,iDAI gazetteer
314,Klepps (Rittergut),Einzelfund,iDAI gazetteer
315,Loburg,Einzelfund,iDAI gazetteer
316,Magdeburg I (Hortfund),Schatzfund,iDAI gazetteer
317,Magdeburg II,Einzelfund,iDAI gazetteer
318,Magdeburg III,Einzelfund,iDAI gazetteer
319,Magdeburg IV,Einzelfund,iDAI gazetteer
320,Aschersleben I,Einzelfund,iDAI gazetteer
321,Aschersleben II,Einzelfund,iDAI gazetteer
322,Ermsleben,Einzelfund,iDAI gazetteer
323,Gatersleben,Einzelfund,iDAI gazetteer
324,Nachterstedt,Einzelfund,iDAI gazetteer
325,Aschersleben (Umgebung) III,Grabfund,iDAI gazetteer
326,Bernburg I,Einzelfund,iDAI gazetteer
327,Bernburg II,Einzelfund,iDAI gazetteer
328,Hohenedlau,Einzelfund,iDAI gazetteer
329,Preußlitz,Grabfund,iDAI gazetteer
330,Altjeßnitz,Einzelfund,iDAI gazetteer
331,Löberitz,Einzelfund,iDAI gazetteer
332,Zörbig I,Einzelfund,iDAI gazetteer
333,Zörbig II,Einzelfund,iDAI gazetteer
334,Zörbig IV,Einzelfund,iDAI gazetteer
335,Bischofrode,Einzelfund,iDAI gazetteer
336,Bösenburg I,Einzelfund,iDAI gazetteer
337,Bösenburg II,Einzelfund,iDAI gazetteer
338,Bösenburg III,Einzelfund,iDAI gazetteer
339,Dederstedt I,Einzelfund,iDAI gazetteer
340,Eisleben I,Einzelfund,iDAI gazetteer
341,Eisleben II,Einzelfund,iDAI gazetteer
342,Eisleben III,Einzelfund,iDAI gazetteer
343,Helbra I,Einzelfund,iDAI gazetteer
344,Helbra II,Einzelfund,iDAI gazetteer
345,Helfta,Einzelfund,iDAI gazetteer
346,Kreisfeld I,Einzelfund,iDAI gazetteer
347,Kreisfeld II,Einzelfund,iDAI gazetteer
348,Polleben,Einzelfund,iDAI gazetteer
349,Unterrißdorf,Einzelfund,iDAI gazetteer
350,Volkstedt,Einzelfund,iDAI gazetteer
351,"""bei Eisleben""",Einzelfund,iDAI gazetteer
352,Umgebung von Eisleben,Einzelfund,iDAI gazetteer
353,Mescheide,Einzelfund,iDAI gazetteer
354,Zschiesewitz,Einzelfund,iDAI gazetteer
355,Alterode,Schatzfund,iDAI gazetteer
356,Freist,Einzelfund,iDAI gazetteer
357,Gerbstedt I,Einzelfund,iDAI gazetteer
358,Gerbstedt II,Einzelfund,iDAI gazetteer
359,Heiligenthal I,Einzelfund,iDAI gazetteer
360,Heiligenthal II,Einzelfund,iDAI gazetteer
361,Oberwiederstedt,Einzelfund,iDAI gazetteer
362,Quenstedt I,Unbekannt,iDAI gazetteer
363,Sandersleben,Unbekannt,iDAI gazetteer
364,Grunau,Einzelfund,iDAI gazetteer
365,Pretzsch,Einzelfund,iDAI gazetteer
366,Stößen I,Einzelfund,iDAI gazetteer
367,Stößen II,Grabfund,iDAI gazetteer
368,Annaburg,Einzelfund,iDAI gazetteer
369,Jessen,Einzelfund,iDAI gazetteer
370,Aken I,Einzelfund,iDAI gazetteer
371,Aken II,Grabfund,iDAI gazetteer
372,Aken III,Einzelfund,iDAI gazetteer
373,Dohndorf,Einzelfund,iDAI gazetteer
374,Drosa,Einzelfund,iDAI gazetteer
375,Edderitz,Einzelfund,iDAI gazetteer
376,Elsdorf,Einzelfund,iDAI gazetteer
377,Gröbzig I,Einzelfund,iDAI gazetteer
378,Gröbzig II,Einzelfund,iDAI gazetteer
379,Gröbzig III,Einzelfund,iDAI gazetteer
380,Gröbzig IV,Einzelfund,iDAI gazetteer
381,Lausigk,Einzelfund,iDAI gazetteer
382,Libbesdorf,Einzelfund,iDAI gazetteer
383,Osternienburg,Einzelfund,iDAI gazetteer
384,Trebbichau,Einzelfund,iDAI gazetteer
385,Wulfen I,Einzelfund,iDAI gazetteer
386,Wulfen II,Einzelfund,iDAI gazetteer
387,Wulfen III,Einzelfund,iDAI gazetteer
388,"""Aken oder Anhalt""",Einzelfund,iDAI gazetteer
389,Bedra I,Einzelfund,iDAI gazetteer
390,Bedra II,Einzelfund,iDAI gazetteer
391,Braunsdorf I,Einzelfund,iDAI gazetteer
392,Braunsdorf II,Einzelfund,iDAI gazetteer
393,Braunsdorf III,Einzelfund,iDAI gazetteer
394,Braunsdorf IV,Unbekannt,iDAI gazetteer
395,Keuschberg,Einzelfund,iDAI gazetteer
396,Kötzschlitz,Einzelfund,iDAI gazetteer
397,Merseburg I,Einzelfund,iDAI gazetteer
398,Merseburg II,Einzelfund,iDAI gazetteer
399,Merseburg III,Einzelfund,iDAI gazetteer
400,Mücheln,Einzelfund,iDAI gazetteer
401,Schafstädt,Einzelfund,iDAI gazetteer
402,Schotterey,Einzelfund,iDAI gazetteer
403,Wegwitz,Einzelfund,iDAI gazetteer
404,Merseburg (Umgebung) I,Einzelfund,iDAI gazetteer
405,Merseburg (Umgebung) II,Einzelfund,iDAI gazetteer
406,Merseburg (Umgebung) III,Einzelfund,iDAI gazetteer
407,Merseburger Land,Einzelfund,iDAI gazetteer
408,Bad Kösen,Einzelfund,iDAI gazetteer
409,Burgheßler,Einzelfund,iDAI gazetteer
410,Großjena,Einzelfund,iDAI gazetteer
411,Kleinjena I,Einzelfund,iDAI gazetteer
412,Kleinjena II,Unbekannt,iDAI gazetteer
413,Naumburg I,Einzelfund,iDAI gazetteer
414,Naumburg II,Einzelfund,iDAI gazetteer
415,Naumburg III,Grabfund,iDAI gazetteer
416,Seena,Einzelfund,iDAI gazetteer
417,Taugwitz,Einzelfund,iDAI gazetteer
418,Wethau,Einzelfund,iDAI gazetteer
419,Balgstädt,Einzelfund,iDAI gazetteer
420,Freyburg I,Unbekannt,iDAI gazetteer
421,Freyburg II,Einzelfund,iDAI gazetteer
422,Freyburg III,Einzelfund,iDAI gazetteer
423,Golzen,Einzelfund,iDAI gazetteer
424,Lossa,Unbekannt,iDAI gazetteer
425,Nebra,Einzelfund,iDAI gazetteer
426,Wennungen,Grabfund,iDAI gazetteer
427,Zscheiplitz,Unbekannt,iDAI gazetteer
428,"""Bei Freyburg""",Einzelfund,iDAI gazetteer
429,Ballenstedt,Grabfund,iDAI gazetteer
430,Ditfurt I,Einzelfund,iDAI gazetteer
431,Ditfurt II,Einzelfund,iDAI gazetteer
432,Neinstedt,Einzelfund,iDAI gazetteer
433,Opperode,Einzelfund,iDAI gazetteer
434,Quedlinburg I,Einzelfund,iDAI gazetteer
435,Quedlinburg II,Einzelfund,iDAI gazetteer
436,Quedlinburg III,Unbekannt,iDAI gazetteer
437,Thale,Einzelfund,iDAI gazetteer
438,Westerhausen,Einzelfund,iDAI gazetteer
439,Bergfarnstädt,Einzelfund,iDAI gazetteer
440,Farnstädt,Einzelfund,iDAI gazetteer
441,Kuckenburg,Einzelfund,iDAI gazetteer
442,Hornburg,Einzelfund,iDAI gazetteer
443,Liederstädt,Einzelfund,iDAI gazetteer
444,Lodersleben,Einzelfund,iDAI gazetteer
445,Nemsdorf,Einzelfund,iDAI gazetteer
446,Niedereichstädt,Grabfund,iDAI gazetteer
447,Oberfarnstädt I,Einzelfund,iDAI gazetteer
448,Oberfarnstädt II,Einzelfund,iDAI gazetteer
449,Oberfarnstädt III,Einzelfund,iDAI gazetteer
450,Öchlitz (Hortfund),Schatzfund,iDAI gazetteer
451,Querfurt (Hortfund),Schatzfund,iDAI gazetteer
452,Schraplau,Grabfund,iDAI gazetteer
453,"""bei Liederstädt""",Einzelfund,iDAI gazetteer
454,Coswig I,Einzelfund,iDAI gazetteer
455,Coswig II,Einzelfund,iDAI gazetteer
456,Klieken,Einzelfund,iDAI gazetteer
457,Boltzenhöhe,Einzelfund,iDAI gazetteer
458,Fienstedt,Einzelfund,iDAI gazetteer
459,Gimritz,Einzelfund,iDAI gazetteer
460,Lochau,Einzelfund,iDAI gazetteer
461,Osmünde,Einzelfund,iDAI gazetteer
462,Petersberg,Einzelfund,iDAI gazetteer
463,Schlettau,Einzelfund,iDAI gazetteer
464,Wettin I,Einzelfund,iDAI gazetteer
465,Wettin II,Einzelfund,iDAI gazetteer
466,Wettin III,Unbekannt,iDAI gazetteer
467,Beyernaumburg,Einzelfund,iDAI gazetteer
468,Großleinungen I (Hortfund),Schatzfund,iDAI gazetteer
469,Großleinungen II,Einzelfund,iDAI gazetteer
470,Mittelhausen I,Einzelfund,iDAI gazetteer
471,Mittelhausen II,Einzelfund,iDAI gazetteer
472,Morungen,Einzelfund,iDAI gazetteer
473,Nienstedt,Einzelfund,iDAI gazetteer
474,Riestedt,Einzelfund,iDAI gazetteer
475,Sangerhausen II,Einzelfund,iDAI gazetteer
476,Sangerhausen I,Einzelfund,iDAI gazetteer
477,Tilleda I,Grabfund,iDAI gazetteer
478,Tilleda II,Einzelfund,iDAI gazetteer
479,Allstedt (Umgebung),Einzelfund,iDAI gazetteer
480,Wallhausen,Einzelfund,iDAI gazetteer
481,Sangerhausen (Umgebung),Einzelfund,iDAI gazetteer
482,Beuditz,Einzelfund,iDAI gazetteer
483,Gröbitz,Einzelfund,iDAI gazetteer
484,Langendorf,Einzelfund,iDAI gazetteer
485,Lösau,Einzelfund,iDAI gazetteer
486,"""Zwischen Weißenfels und Zeitz""",Einzelfund,iDAI gazetteer
487,Pratau,Einzelfund,iDAI gazetteer
488,Bornitz,Einzelfund,iDAI gazetteer
489,Zeitz,Einzelfund,iDAI gazetteer
490,Zeitz (Umgebung?),Einzelfund,iDAI gazetteer
491,Dessau-Süd,Einzelfund,iDAI gazetteer
492,Dessau-Törten,Einzelfund,iDAI gazetteer
493,Dessau-Waldersee,Einzelfund,iDAI gazetteer
494,Halle I,Einzelfund,iDAI gazetteer
495,Halle II,Einzelfund,iDAI gazetteer
496,Halle-Giebichenstein,Einzelfund,iDAI gazetteer
497,Halle-Nord I,Einzelfund,iDAI gazetteer
498,Halle (Kleiner Galgenberg),,iDAI gazetteer
499,Halle-Passendorf,Einzelfund,iDAI gazetteer
500,Halle-Südost,Grabfund,iDAI gazetteer
501,Aderstedt (Bernburg),Einzelfund,iDAI gazetteer
502,Alleringersleben,Einzelfund,iDAI gazetteer
503,Althaldensleben,Einzelfund,iDAI gazetteer
504,Altmark I,Einzelfund,iDAI gazetteer
505,Altmark II (Schatzfund),Schatzfund,iDAI gazetteer
506,Aschersleben III,Einzelfund,iDAI gazetteer
507,Aschersleben (Umgebung) I,Einzelfund,iDAI gazetteer
508,Barleben,Einzelfund,iDAI gazetteer
509,Beetzendorf I,Einzelfund,iDAI gazetteer
510,Bellingen,Einzelfund,iDAI gazetteer
511,Belsdorf,Einzelfund,iDAI gazetteer
512,Billberge,Einzelfund,iDAI gazetteer
513,Bürs,Einzelfund,iDAI gazetteer
514,Calvörde,Einzelfund,iDAI gazetteer
515,Dedeleben II,Einzelfund,iDAI gazetteer
516,Deersheim II,Einzelfund,iDAI gazetteer
517,Dolchau I,Einzelfund,iDAI gazetteer
518,Dolchau II,Einzelfund,iDAI gazetteer
519,Dolle,Einzelfund,iDAI gazetteer
520,Domersleben,Einzelfund,iDAI gazetteer
521,Dorst,Einzelfund,iDAI gazetteer
522,Eichenbarleben II,Einzelfund,iDAI gazetteer
523,Eilsleben II,Einzelfund,iDAI gazetteer
524,Elbeu,Einzelfund,iDAI gazetteer
525,Emden,Einzelfund,iDAI gazetteer
526,Farsleben (Schatzfund),Schatzfund,iDAI gazetteer
527,Genthin I,Einzelfund,iDAI gazetteer
528,Gröningen I,Einzelfund,iDAI gazetteer
529,Großmühlingen,Einzelfund,iDAI gazetteer
530,Halberstadt,Einzelfund,iDAI gazetteer
531,Haldensleben I,Einzelfund,iDAI gazetteer
532,Haldensleben V,Einzelfund,iDAI gazetteer
533,Haldensleben III,Einzelfund,iDAI gazetteer
534,Haldensleben IV,Einzelfund,iDAI gazetteer
535,Haldensleben (Umgebung),Einzelfund,iDAI gazetteer
536,Havelberg I,Einzelfund,iDAI gazetteer
537,Havelberg II,Einzelfund,iDAI gazetteer
538,Havelberg III,Einzelfund,iDAI gazetteer
539,Hecklingen II,Einzelfund,iDAI gazetteer
540,Hohenberg-Krusemark,Einzelfund,iDAI gazetteer
541,Belzig,Einzelfund,iDAI gazetteer
542,"Cammer (Hortfund, suspekt)",Unbekannt,iDAI gazetteer
543,Dahnsdorf,Grabfund,iDAI gazetteer
544,Dippmannsdorf,Einzelfund,iDAI gazetteer
545,Fredersdorf,Einzelfund,iDAI gazetteer
546,Niemegk I (Hortfund),Schatzfund,iDAI gazetteer
547,Niemegk II,Einzelfund,iDAI gazetteer
548,Niemegk III (Umgebung),Einzelfund,iDAI gazetteer
549,Jeserig,Einzelfund,iDAI gazetteer
550,Ketzür I,Einzelfund,iDAI gazetteer
551,Ketzür II,Einzelfund,iDAI gazetteer
552,Kützkow,Einzelfund,iDAI gazetteer
553,Netzen,Einzelfund,iDAI gazetteer
554,Rädel,Einzelfund,iDAI gazetteer
555,Trechwitz,Einzelfund,iDAI gazetteer
556,Wusterwitz,Grabfund,iDAI gazetteer
557,Zehdenick,Einzelfund,iDAI gazetteer
558,Borgisdorf,Einzelfund,iDAI gazetteer
559,Malterhausen,Einzelfund,iDAI gazetteer
560,Riesdorf,Einzelfund,iDAI gazetteer
561,Treuenbrietzen,Einzelfund,iDAI gazetteer
562,Birkholz,Einzelfund,iDAI gazetteer
563,Briesen,Einzelfund,iDAI gazetteer
564,Kablow (Siedlungsfund),Einzelfund,iDAI gazetteer
565,Klein Köris,Einzelfund,iDAI gazetteer
566,Königs Wusterhausen,Einzelfund,iDAI gazetteer
567,Niederlehme,Einzelfund,iDAI gazetteer
568,Ragow II,Einzelfund,iDAI gazetteer
569,Kyritz,Unbekannt,iDAI gazetteer
570,Wusterhausen/Dosse,Einzelfund,iDAI gazetteer
571,Lochow,Einzelfund,iDAI gazetteer
572,Luckenwalde I,Einzelfund,iDAI gazetteer
573,Petkus,Einzelfund,iDAI gazetteer
574,Stangenhagen,Unbekannt,iDAI gazetteer
575,Buchow/Karpzow (Hortfund),Schatzfund,iDAI gazetteer
576,Dallgow,Einzelfund,iDAI gazetteer
577,Groß Behnitz,Einzelfund,iDAI gazetteer
578,Nauen I,Einzelfund,iDAI gazetteer
579,Nauen II,Einzelfund,iDAI gazetteer
580,Paaren im Glien I,Einzelfund,iDAI gazetteer
581,Paaren im Glien II,Einzelfund,iDAI gazetteer
582,Paaren im Glien III,Einzelfund,iDAI gazetteer
583,Paretz,Einzelfund,iDAI gazetteer
584,Pausin I,Einzelfund,iDAI gazetteer
585,Nauen III,Einzelfund,iDAI gazetteer
586,Neuruppin,Unbekannt,iDAI gazetteer
587,Zechlin,Grabfund,iDAI gazetteer
588,Liebenthal,Unbekannt,iDAI gazetteer
589,Schönfließ,Einzelfund,iDAI gazetteer
590,Velten,Einzelfund,iDAI gazetteer
591,Gülitz,Einzelfund,iDAI gazetteer
592,Kletzke,Einzelfund,iDAI gazetteer
593,Plattenburg,Einzelfund,iDAI gazetteer
594,Perleberg,Einzelfund,iDAI gazetteer
595,Baumgartenbrück (Schatzfund?),Schatzfund,iDAI gazetteer
596,Eiche (Hortfund?),Schatzfund,iDAI gazetteer
597,Kemnitz,Grabfund,iDAI gazetteer
598,Saarmund,Einzelfund,iDAI gazetteer
599,Salzbrunn,Einzelfund,iDAI gazetteer
600,Stücken,Einzelfund,iDAI gazetteer
601,Pritzwalk I,Einzelfund,iDAI gazetteer
602,Pritzwalk II,Einzelfund,iDAI gazetteer
603,Gräningen,Einzelfund,iDAI gazetteer
604,Kotzen,Grabfund,iDAI gazetteer
605,Rathenow,Einzelfund,iDAI gazetteer
606,Vieritz,Einzelfund,iDAI gazetteer
607,Buschow,Einzelfund,iDAI gazetteer
608,Freyenstein,Unbekannt,iDAI gazetteer
609,Wittstock,Einzelfund,iDAI gazetteer
610,Baruth,Einzelfund,iDAI gazetteer
611,Fernneuendorf (Hortfund),Schatzfund,iDAI gazetteer
612,Groß Kienitz,Einzelfund,iDAI gazetteer
613,Hohenerxleben,Kollektivfund,iDAI gazetteer
614,Hohenhenningen,Einzelfund,iDAI gazetteer
615,Hötensleben,Einzelfund,iDAI gazetteer
616,Hundisburg II,Einzelfund,iDAI gazetteer
617,Jeetze,Einzelfund,iDAI gazetteer
618,Kahrstedt,Grabfund,iDAI gazetteer
619,Klein Ammensleben I,Einzelfund,iDAI gazetteer
620,Klein Ammensleben II,Einzelfund,iDAI gazetteer
621,Königsmark,Einzelfund,iDAI gazetteer
622,Krottorf I,Grabfund,iDAI gazetteer
623,Krottorf II,Einzelfund,iDAI gazetteer
624,Langensalzwedel,Einzelfund,iDAI gazetteer
625,Langenweddingen I,Einzelfund,iDAI gazetteer
